Equipment type,AREA,REGION,CLUSTER,IMG SubReg,agfa_wasquotedcreatedname,agfa_maintypecodename,FC category sort,IMG SubReg_1,agfa_weightedamountexcludingsma_base,destination
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
Retrofit and Other,USA,NORTH AMERICA,NORTH AMERICA,USA,Yes,Expand existing business,1,USA,,UNITED STATES OF AMERICA
