cr57c_accountid,cr57c_address2_country,cr57c_agfa_saprecordid
166F2186-21EB-ED11-8849-0022489FD093,United States of America,
9EA4B491-22EB-ED11-8849-0022489FD093,United States of America,
04F43692-22EB-ED11-8849-0022489FD623,United States of America,
9FB60E85-21EB-ED11-8849-0022489FD80B,United States of America,
C2B60E85-21EB-ED11-8849-0022489FD80B,United States of America,
88B60E85-21EB-ED11-8849-0022489FD80B,United States of America,
266AEF82-21EB-ED11-8849-0022489FD9A7,United States of America,
A9486C8D-22EB-ED11-8849-0022489FDE79,United States of America,
486D0493-22EB-ED11-8848-000D3AB11D4F,United States of America,
196E0493-22EB-ED11-8848-000D3AB11D4F,United States of America,
A9BCB57E-21EB-ED11-8849-000D3ADA93B4,United States of America,
B2B6AD8F-22EB-ED11-8849-000D3ADA93B4,United States of America,
48F33692-22EB-ED11-8849-0022489FD623,United States of America,
3D6AEF82-21EB-ED11-8849-0022489FD9A7,United States of America,
BF3C4092-22EB-ED11-8849-0022489FD9A7,United States of America,
C53C4092-22EB-ED11-8849-0022489FD9A7,United States of America,
F63C4092-22EB-ED11-8849-0022489FD9A7,United States of America,
323D4092-22EB-ED11-8849-0022489FD9A7,United States of America,
72CA9986-21EB-ED11-8848-0022489FDB1D,United States of America,
E1EC5287-21EB-ED11-8849-0022489FDDCE,United States of America,
9F10D092-22EB-ED11-8849-0022489FDDEE,United States of America,
01954482-21EB-ED11-8849-000D3A680C8A,United States of America,
666D0493-22EB-ED11-8848-000D3AB11D4F,United States of America,
496A6D90-22EB-ED11-8849-0022489FC0D4,United States of America,
F8D4AF8F-22EB-ED11-8849-0022489FD0DC,United States of America,
22B60E85-21EB-ED11-8849-0022489FD80B,United States of America,
7AFF068B-21EB-ED11-8849-0022489FD80B,United States of America,
7357F27C-21EB-ED11-8849-0022489FD9A7,United States of America,
4E69EF82-21EB-ED11-8849-0022489FD9A7,United States of America,
CACB9986-21EB-ED11-8848-0022489FDB1D,United States of America,
7510D092-22EB-ED11-8849-0022489FDDEE,United States of America,
8E10D092-22EB-ED11-8849-0022489FDDEE,United States of America,
7F1C7C82-21EB-ED11-8849-0022489FDE79,United States of America,
51936493-22EB-ED11-8849-0022489FDE79,United States of America,
F2321D91-22EB-ED11-8849-000D3A680C8A,United States of America,
582CDC82-21EB-ED11-8848-000D3AB11D4F,United States of America,
846D0493-22EB-ED11-8848-000D3AB11D4F,United States of America,
C7262980-21EB-ED11-8849-0022489FD093,United States of America,
306F2186-21EB-ED11-8849-0022489FD093,United States of America,
477BEA7E-21EB-ED11-8849-0022489FD623,United States of America,
23EAE284-21EB-ED11-8849-0022489FD623,United States of America,
167BEA7E-21EB-ED11-8849-0022489FD623,United States of America,
ECB50E85-21EB-ED11-8849-0022489FD80B,United States of America,
546AEF82-21EB-ED11-8849-0022489FD9A7,United States of America,
FEEB5287-21EB-ED11-8849-0022489FDDCE,United States of America,
162CDC82-21EB-ED11-8848-000D3AB11D4F,United States of America,
C1E9E284-21EB-ED11-8849-0022489FD623,United States of America,
77EAE284-21EB-ED11-8849-0022489FD623,United States of America,
616AEF82-21EB-ED11-8849-0022489FD9A7,United States of America,
5B926086-21EB-ED11-8849-0022489FD9DD,United States of America,
123B5992-22EB-ED11-8849-0022489FDDCE,United States of America,
9E10D092-22EB-ED11-8849-0022489FDDEE,United States of America,
10331D91-22EB-ED11-8849-000D3A680C8A,United States of America,
412CDC82-21EB-ED11-8848-000D3AB11D4F,United States of America,
67A0B784-21EB-ED11-8849-000D3ADA93B4,United States of America,
3C6A6D90-22EB-ED11-8849-0022489FC0D4,United States of America,
16272980-21EB-ED11-8849-0022489FD093,United States of America,
A2B7198C-21EB-ED11-8849-0022489FD093,United States of America,
EBD4AF8F-22EB-ED11-8849-0022489FD0DC,United States of America,
0CD5AF8F-22EB-ED11-8849-0022489FD0DC,United States of America,
3CEAE284-21EB-ED11-8849-0022489FD623,United States of America,
33F33692-22EB-ED11-8849-0022489FD623,United States of America,
F03D4092-22EB-ED11-8849-0022489FD9A7,United States of America,
833EDB7E-21EB-ED11-8849-0022489FDDEE,United States of America,
F5C1D78A-21EB-ED11-8849-0022489FDDEE,United States of America,
D9944482-21EB-ED11-8849-000D3A680C8A,United States of America,
EA2C6896-22EB-ED11-8849-0022489FC0D4,United States of America,
A5282980-21EB-ED11-8849-0022489FD093,United States of America,
