Destination,IMG SubReg,IMG RegGrp,Report Region,Fixed Destination,Check
AFGHANISTAN,Gulf,Intercontinental,Middle East & Other Africa,Afghanistan,1
ALGERIA,Maghreb,Intercontinental,Africa,Algeria,1
ANGOLA,West & Central Africa,Intercontinental,Africa,Angola,1
ANTARCTICA,Rest of World others,Intercontinental,Rest of World others,Antarctica,1
ARGENTINA,La Plata,Intercontinental,South LATAM,Argentina,1
ARUBA,NOLA,Intercontinental,North LATAM,Aruba,1
ASEAN,Asean,Intercontinental,Asean,Asean,1
ASSIGNED_DEX,Rest of World others,Intercontinental,Rest of World others,assigned_DEX,1
BAHAMAS,NOLA,Intercontinental,North LATAM,Bahamas,1
BAHAMAS (THE),NOLA,Intercontinental,North LATAM,Bahamas,1
BAHRAIN,Saudi Arabia,Intercontinental,Middle East & Other Africa,Bahrain,1
BANGLADESH,Rest Of ASPAC South,Intercontinental,Rest Of ASPAC South,Bangladesh,1
BARBADOS,NOLA,Intercontinental,North LATAM,Barbados,1
BELIZE,NOLA,Intercontinental,North LATAM,Belize,1
BENIN,West & Central Africa,Intercontinental,Africa,Benin,1
BHUTAN,Rest Of ASPAC South,Intercontinental,Rest Of ASPAC South,Bhutan,1
BOLIVIA,Peru & Bolivia,Intercontinental,North LATAM,Bolivia,1
BOTSWANA,Export South Africa,Intercontinental,Africa,Botswana,1
BRAZIL,Brazil,Intercontinental,Brazil,Brazil,1
BRUNEI DARUSSALAM,Asean,Intercontinental,Asean,Brunei Darussalam,1
BURKINA FASO,West & Central Africa,Intercontinental,Africa,Burkina Faso,1
BURMA,Asean,Intercontinental,Asean,Burma,1
BURUNDI,East & Other Africa,Intercontinental,Middle East & Other Africa,Burundi,1
BW,Export South Africa,Intercontinental,Africa,Botswana,1
CAMBODIA,Asean,Intercontinental,Asean,Cambodia,1
CAMEROON,West & Central Africa,Intercontinental,Africa,Cameroon,1
CAPE VERDE,West & Central Africa,Intercontinental,Africa,Cape Verde,1
CAR,West & Central Africa,Intercontinental,Africa,Central African Republic,1
CENTRAL AFRICAN REPUBLIC (THE),West & Central Africa,Intercontinental,Africa,Central African Republic,1
CHAD,West & Central Africa,Intercontinental,Africa,Chad,1
CHILE,Chile,Intercontinental,South LATAM,Chile,1
CHINA,China,Intercontinental,China,China,1
CK,West & Central Africa,Intercontinental,Africa,Cook Islands,1
COLOMBIA,NOLA,Intercontinental,North LATAM,Colombia,1
COMOROS,Export South Africa,Intercontinental,Africa,Comoros,1
CONGO REPUBLIC,West & Central Africa,Intercontinental,Africa,Republic Of Congo,1
COSTA RICA,NOLA,Intercontinental,North LATAM,Costa Rica,1
COTE D'IVOIRE,West & Central Africa,Intercontinental,Africa,Cote d'Ivoire,1
CURACAO,NOLA,Intercontinental,North LATAM,Curaçao,1
CURAÇAO,NOLA,Intercontinental,North LATAM,Curaçao,1
DEM. REP. CONGO,West & Central Africa,Intercontinental,Africa,Democratic Republic Of Congo,1
DEMOCRATIC REPUBLIC OF THE CONGO,West & Central Africa,Intercontinental,Africa,Democratic Republic Of Congo,1
DEMOCRATIC REPUBLIC OF CONGO,West & Central Africa,Intercontinental,Africa,Democratic Republic Of Congo,1
DIRECT EXPORT OTHERS,Rest of World others,Intercontinental,Rest of World others,Direct Export Others,1
DJIBOUTI,East & Other Africa,Intercontinental,Middle East & Other Africa,Djibouti,1
DOMINIC. REP.,NOLA,Intercontinental,North LATAM,Dominican Republic,1
DOMINICAN REP.,NOLA,Intercontinental,North LATAM,Dominican Republic,1
DOMINICAN REPUBLIC (THE),NOLA,Intercontinental,North LATAM,Dominican Republic,1
DOMINICAN REPUBLIC,NOLA,Intercontinental,North LATAM,Dominican Republic,1
EAST & OTHER AFRICA,Rest of World others,Intercontinental,Rest of World others,East & Other Africa,1
ECUADOR,NOLA,Intercontinental,North LATAM,Ecuador,1
EGYPT,Levant,Intercontinental,Middle East & Other Africa,Egypt,1
EL SALVADOR,NOLA,Intercontinental,North LATAM,El Salvador,1
EQUATORIAL GUIN,West & Central Africa,Intercontinental,Africa,Equatorial Guinea,1
EQUATORIAL GUINEA,West & Central Africa,Intercontinental,Africa,Equatorial Guinea,1
ERITREA,East & Other Africa,Intercontinental,Middle East & Other Africa,Eritrea,1
ESWATINI,West & Central Africa,Intercontinental,Africa,Eswatini,1
ETHIOPIA,East & Other Africa,Intercontinental,Middle East & Other Africa,Ethiopia,1
EXPORT SOUTH-AFRICA,Export South Africa,Intercontinental,Africa,Export South-Africa,1
FALKLAND,La Plata,Intercontinental,South LATAM,Falkland,1
FRENC.POLYNESIA,Rest of World others,Intercontinental,Africa,French Polynesia,1
FRENCH POLYNESIA,Rest of World others,Intercontinental,Africa,French Polynesia,1
GABON,West & Central Africa,Intercontinental,Africa,Gabon,1
GAMBIA,West & Central Africa,Intercontinental,Africa,Gambia,1
GAMBIA (THE),West & Central Africa,Intercontinental,Africa,Gambia,1
GHANA,Levant,Intercontinental,Middle East & Other Africa,Ghana,1
GROWTH REGIONS,Rest of World others,Intercontinental,Rest of World others,Growth Regions,1
GUATEMALA,NOLA,Intercontinental,North LATAM,Guatemala,1
GUINEA,West & Central Africa,Intercontinental,Africa,Guinea,1
GUINEA-BISSAU,West & Central Africa,Intercontinental,Africa,Guinea-Bissau,1
GULF AF PK,Gulf,Intercontinental,Middle East & Other Africa,Gulf,1
GUYANA,NOLA,Intercontinental,North LATAM,Guyana,1
HAITI,NOLA,Intercontinental,North LATAM,Haiti,1
HONDURAS,NOLA,Intercontinental,North LATAM,Honduras,1
HONG KONG,Hong Kong,Intercontinental,Hong Kong,Hong Kong,1
INDIA,India,Intercontinental,India,India,1
INDONESIA,Asean,Intercontinental,Asean,Indonesia,1
INTERNATIONAL ORGANIZATIONS,Rest of World others,Intercontinental,Rest of World others,International Organizations,1
IRAN,Iran,Intercontinental,Middle East & Other Africa,Iran,1
IRAQ,Levant,Intercontinental,Middle East & Other Africa,Iraq,1
ISRAEL,Rest of World others,Intercontinental,Africa,Israel,1
IVORY COAST,West & Central Africa,Intercontinental,Africa,Ivory Coast,1
JAMAICA,NOLA,Intercontinental,North LATAM,Jamaica,1
JAPAN,Rest Of ASPAC North,Intercontinental,Rest Of ASPAC North,Japan,1
JORDAN,Levant,Intercontinental,Middle East & Other Africa,Jordan,1
KENYA,East & Other Africa,Intercontinental,Middle East & Other Africa,Kenya,1
KOREA (THE REPUBLIC OF),ASPAC North 3rd Party,Intercontinental,ASPAC North 3rd Party,Republic Of Korea,1
KUWAIT,Gulf,Intercontinental,Middle East & Other Africa,Kuwait,1
LAOS,Asean,Intercontinental,Asean,Laos,1
LEBANON,Levant,Intercontinental,Middle East & Other Africa,Lebanon,1
LESOTHO,Export South Africa,Intercontinental,Africa,Lesotho,1
LEVANT EG LY,Levant,Intercontinental,Middle East & Other Africa,Levant,1
LIBERIA,West & Central Africa,Intercontinental,Africa,Liberia,1
LIBYA,Levant,Intercontinental,Middle East & Other Africa,Libya,1
MADAGASCAR,East & Other Africa,Intercontinental,Middle East & Other Africa,Madagascar,1
MAGHREB,Maghreb,Intercontinental,Africa,Maghreb,1
MALAWI,Export South Africa,Intercontinental,Africa,Malawi,1
MALAYSIA,Asean,Intercontinental,Asean,Malaysia,1
MALDIVES,Rest Of ASPAC South,Intercontinental,Rest Of ASPAC South,Maldives,1
MALI,West & Central Africa,Intercontinental,Africa,Mali,1
MAURETANIA,West & Central Africa,Intercontinental,Africa,Mauretania,1
MAURITANIA,West & Central Africa,Intercontinental,Africa,Mauretania,1
MAURITIUS,East & Other Africa,Intercontinental,Middle East & Other Africa,Mauritius,1
