IMG SubReg,AREA,REGION,CLUSTER
IBERIA,IBERIA,EUROPE-PACIFIC,IBERIA
MEXICO,MEXICO,INTERCONTINENTAL,LATAM
DACH,DACH,EUROPE-PACIFIC,DACH
BRAZIL,BRAZIL,INTERCONTINENTAL,LATAM
INDIA,INDIA,INTERCONTINENTAL,INDIA & REST OF ASPAC
OCEANIA,OCEANIA,EUROPE-PACIFIC,OCEANIA
ITALY,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH
USA,USA,NORTH AMERICA,NORTH AMERICA
NOLA,NORTH LATAM,INTERCONTINENTAL,LATAM
ALMATY,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH
RUSSIA,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH
LA PLATA,SOUTH LATAM,INTERCONTINENTAL,LATAM
POLAND,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH
FRANCE,FRANCE,EUROPE-PACIFIC,EUROPE NORTH
CANADA,CANADA,NORTH AMERICA,NORTH AMERICA
CHILE,SOUTH LATAM,INTERCONTINENTAL,LATAM
BELUX,BENELUX,EUROPE-PACIFIC,EUROPE NORTH
GREECE,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH
HUNGARY,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH
PERU & BOLIVIA,NORTH LATAM,INTERCONTINENTAL,LATAM
UK,UK & IRELAND,EUROPE-PACIFIC,EUROPE NORTH
ASEAN,ASEAN,INTERCONTINENTAL,ASEAN
NORD,NORD,EUROPE-PACIFIC,EUROPE NORTH
LEVANT,LEVANT,INTERCONTINENTAL,MEA
REST OF WORLD OTHERS,SOUTH AFRICA,INTERCONTINENTAL,MEA
GULF,GULF,INTERCONTINENTAL,MEA
SOUTH AFRICA,SOUTH AFRICA,INTERCONTINENTAL,MEA
IRAN,GULF,INTERCONTINENTAL,MEA
UKRAINE,UKRAINE,EUROPE-PACIFIC,EUROPE EAST & SOUTH
NETHERLANDS,BENELUX,EUROPE-PACIFIC,EUROPE NORTH
EAST & OTHER AFRICA,EAST & OTHER AFRICA,INTERCONTINENTAL,MEA
WEST & CENTRAL AFRICA,WEST & CENTRAL AFRICA,INTERCONTINENTAL,MEA
EXPORT SOUTH AFRICA,EXPORT SOUTH AFRICA,INTERCONTINENTAL,MEA
,,,
MAGHREB,MAGHREB,INTERCONTINENTAL,MEA
SAUDI ARABIA,SAUDI ARABIA,INTERCONTINENTAL,MEA
REST OF ASPAC SOUTH,REST OF ASPAC SOUTH,INTERCONTINENTAL,INDIA & REST OF ASPAC
HONG KONG,HONG KONG,INTERCONTINENTAL,INDIA & REST OF ASPAC
CHINA,CHINA,INTERCONTINENTAL,INDIA & REST OF ASPAC
