Bill-to party,Bill-to Country,Bill-to Customer Updated in APX,sap channel,sap channel name
GR0123,Greece,,#,Not assigned
GR0193,Greece,,#,Not assigned
GR0290,Greece,,#,Not assigned
GR0618,Greece,,#,Not assigned
GR0669,Greece,,#,Not assigned
GR0977,Greece,,#,Not assigned
GR1167,Greece,,#,Not assigned
GR1201,Greece,,#,Not assigned
GR1370,Greece,,#,Not assigned
GR1694,Greece,,#,Not assigned
GR1739,Greece,,#,Not assigned
GR1744,Greece,,#,Not assigned
GR1861,Greece,,#,Not assigned
GR2102,Greece,,#,Not assigned
GR2392,Greece,,#,Not assigned
GR2519,Greece,,#,Not assigned
GR2629,Greece,,#,Not assigned
GR2753,Greece,,#,Not assigned
GR2774,Greece,,#,Not assigned
GR2826,Greece,,#,Not assigned
GR2847,Greece,,#,Not assigned
GR2898,Greece,,#,Not assigned
GR2902,Greece,,#,Not assigned
GR2984,Greece,,#,Not assigned
GR3011,Greece,,#,Not assigned
GR3117,Greece,,#,Not assigned
GR3140,Greece,,#,Not assigned
GR3164,Greece,,#,Not assigned
GR3294,Greece,,#,Not assigned
GR3312,Greece,,#,Not assigned
GR3325,Greece,,#,Not assigned
GR3344,Greece,,#,Not assigned
GR3455,Greece,,#,Not assigned
GR3510,Greece,,#,Not assigned
GR3519,Greece,,#,Not assigned
GR3554,Greece,,#,Not assigned
GR3598,Greece,,#,Not assigned
GR3622,Greece,,#,Not assigned
GR3743,Greece,,#,Not assigned
GR3781,Greece,,#,Not assigned
GR3808,Greece,,#,Not assigned
GR3873,Greece,,#,Not assigned
GR3875,Greece,,#,Not assigned
GR3909,Greece,,#,Not assigned
GR4154,Greece,,#,Not assigned
GR4159,Greece,,#,Not assigned
GR4175,Greece,,#,Not assigned
GR4228,Greece,,#,Not assigned
GR4286,Greece,,#,Not assigned
GR4287,Greece,,#,Not assigned
GR4291,Greece,,#,Not assigned
GR4318,Greece,,#,Not assigned
GR4323,Greece,,#,Not assigned
GR4326,Greece,,#,Not assigned
GR4329,Greece,,#,Not assigned
