Destination,Region,Group of Regions,Subregion,Week,RT PY,RT CY,PY,CY,Qtr,RT BT,RT FC,key figure,PQ,SQ,4Q,funnel,RT BT Q,RT FC Q,funnel HF,RT CY Q,RT PY Q,funnel Q,funnel HF Q,PQ Q,SQ Q,4Q Q,FC2,FC2 Q,RT FC2,RT FC2 Q
Afghanistan,Gulf,Intercontinental,Middle East & Other Africa,1.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Afghanistan,Gulf,Intercontinental,Middle East & Other Africa,2.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Afghanistan,Gulf,Intercontinental,Middle East & Other Africa,3.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Afghanistan,Gulf,Intercontinental,Middle East & Other Africa,4.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Afghanistan,Gulf,Intercontinental,Middle East & Other Africa,5.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Afghanistan,Gulf,Intercontinental,Middle East & Other Africa,6.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Afghanistan,Gulf,Intercontinental,Middle East & Other Africa,7.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Kuwait,Gulf,Intercontinental,Middle East & Other Africa,1.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Kuwait,Gulf,Intercontinental,Middle East & Other Africa,2.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Kuwait,Gulf,Intercontinental,Middle East & Other Africa,3.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Kuwait,Gulf,Intercontinental,Middle East & Other Africa,4.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Kuwait,Gulf,Intercontinental,Middle East & Other Africa,5.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Kuwait,Gulf,Intercontinental,Middle East & Other Africa,6.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Kuwait,Gulf,Intercontinental,Middle East & Other Africa,7.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Kuwait,Gulf,Intercontinental,Middle East & Other Africa,8.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Kuwait,Gulf,Intercontinental,Middle East & Other Africa,9.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Kuwait,Gulf,Intercontinental,Middle East & Other Africa,10.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
Kuwait,Gulf,Intercontinental,Middle East & Other Africa,11.0,0.0,,0.0,,Q1,,,Actual,,,,,,,,,0.0,,,,,,,,0.0,0.0
