Source Instance,Schema,Table,Access
SAPAP1,SAPAP1,VBAK,Yes
SAPAP1,SAPAP1,VBUK,No
SAPAP1,SAPAP1,VBUP,No
SAPAP1,SAPAP1,VBEP,Yes
SAPAP1,SAPAP1,VBKD,No
SAPAP1,SAPAP1,VBAP,Yes
SAPAP1,SAPAP1,COEP,No
SAPAP1,SAPAP1,VBREVE,No
SAPAP1,SAPAP1,VBRP,Yes
SAPAP1,SAPAP1,MSKU,No
SAPAP1,SAPAP1,VBRK,Yes
SAPAP6,SAPABAP1,VBAK,No
SAPAP6,SAPABAP1,VBUK,Yes
SAPAP6,SAPABAP1,VBUP,No
SAPAP6,SAPABAP1,VBEP,Yes
SAPAP6,SAPABAP1,VBKD,No
SAPAP6,SAPABAP1,VBAP,Yes
SAPAP6,SAPABAP1,COEP,No
SAPAP6,SAPABAP1,VBREVE,No
SAPAP6,SAPABAP1,VBRP,Yes
SAPAP6,SAPABAP1,VBRK,Yes
SAPAP6,SAPABAP1,PROJ,No
SAPAP6,SAPABAP1,MSKU,No
SAPAP6,SAPABAP1,PRPS,No
SAPAP6,SAPABAP1,PRTE,No
SAPAP6,SAPABAP1,V_FPLT,No (found VFPLT but not V_FPLT)
SAPAP2,SAPABAP1,VBAK,No
SAPAP2,SAPABAP1,VBUK,Yes
SAPAP2,SAPABAP1,VBUP,No
SAPAP2,SAPABAP1,VBEP,Yes
SAPAP2,SAPABAP1,VBKD,No
SAPAP2,SAPABAP1,VBAP,Yes
SAPAP2,SAPABAP1,COEP,No
SAPAP2,SAPABAP1,VBREVE,No
SAPAP2,SAPABAP1,VBRP,Yes
SAPAP2,SAPABAP1,VBRK,Yes
SAPAP2,SAPABAP1,MSKU,No
SAPAP7,SAPABAP1,VBAK,No
SAPAP7,SAPABAP1,VBUK,Yes
SAPAP7,SAPABAP1,VBUP,No
SAPAP7,SAPABAP1,VBEP,Yes
SAPAP7,SAPABAP1,VBKD,No
SAPAP7,SAPABAP1,VBAP,Yes
SAPAP7,SAPABAP1,COEP,No
SAPAP7,SAPABAP1,VBREVE,No
SAPAP7,SAPABAP1,VBRP,Yes
SAPAP7,SAPABAP1,VBRK,Yes
SAPAP7,SAPABAP1,MSKU,No
