config_id,source_system,table_name,watermark_column,last_watermark_value,load_type,is_active
1,AP1,COEP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
2,AP1,MSKU,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
3,AP1,VBAK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
4,AP1,VBAP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
5,AP1,VBEP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
6,AP1,VBKD,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
7,AP1,VBREVE,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
8,AP1,VBRK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
9,AP1,VBRP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
10,AP1,VBUK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
11,AP1,VBUP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
12,AP2,COEP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
13,AP2,MSKU,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
14,AP2,VBAK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
15,AP2,VBAP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
16,AP2,VBEP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
17,AP2,VBKD,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
18,AP2,VBREVE,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
19,AP2,VBRK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
20,AP2,VBRP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
21,AP2,VBUK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
22,AP2,VBUP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
23,AP6,COEP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
24,AP6,MSKU,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
25,AP6,PROJ,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
26,AP6,PRPS,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
27,AP6,PRTE,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
28,AP6,VBAK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
29,AP6,VBAP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
30,AP6,VBEP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
31,AP6,VBKD,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
32,AP6,VBREVE,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
33,AP6,VBRK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
34,AP6,VBRP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
35,AP6,VBUK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
36,AP6,VBUP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
37,AP6,V_FPLT,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
38,AP7,COEP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
39,AP7,MSKU,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
40,AP7,VBAK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
41,AP7,VBAP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
42,AP7,VBEP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
43,AP7,VBKD,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
44,AP7,VBREVE,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
45,AP7,VBRK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
46,AP7,VBRP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
47,AP7,VBUK,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
48,AP7,VBUP,LAST_CHANGED_TS,1900-01-01 00:00:00.000,INCREMENTAL,1
